line_name,year,month,est_wkday_ridership,est_sat_ridership,est_sun_ridership
Line 81,2024,11,9960,7518,6033
Line 81,2024,12,9839,6953,5697
Line 81,2025,1,10114,6951,5347
Line 81,2025,2,9898,7322,6332
Line 81,2025,3,9985,7561,6277
Line 81,2025,4,10179,7592,6483
Line 81,2025,5,10589,7461,6285
Line 90,2024,7,5740,3929,3418
Line 90,2024,8,5897,4138,3667
Line 90,2024,9,6330,4121,3571
Line 90,2024,10,6444,4418,3484
Line 90,2024,11,6005,4017,3286
Line 90,2024,12,5727,3867,3361
Line 90,2025,1,5521,3801,3092
Line 90,2025,2,5965,4221,3436
Line 90,2025,3,6085,4174,3539
Line 90,2025,4,6259,4061,3698
Line 90,2025,5,6456,4051,3535
Line 92,2024,7,5533,4093,3585
Line 92,2024,8,5978,4207,3667
Line 92,2024,9,6227,4312,3537
Line 92,2024,10,6217,4139,3776
Line 92,2024,11,5745,4223,3489
Line 92,2024,12,5783,4129,3345
Line 92,2025,1,5629,3965,2963
Line 92,2025,2,5805,4502,3622
Line 92,2025,3,5955,4454,3789
Line 92,2025,4,6232,4439,3944
Line 92,2025,5,6326,4287,3717
Line 94,2024,7,6811,5106,4248
Line 94,2024,8,7052,5390,4637
Line 94,2024,9,7251,5382,4565
Line 94,2024,10,7240,5442,4669
Line 94,2024,11,6991,5373,4215
Line 94,2024,12,6874,5285,4366
Line 94,2025,1,6693,4867,3835
Line 94,2025,2,6715,5273,4472
Line 94,2025,3,6874,5395,4551
Line 94,2025,4,7108,5431,4498
Line 94,2025,5,7149,5374,4656
Line 96,2024,7,653,540,489
Line 96,2024,8,673,552,475
Line 96,2024,9,685,559,496
Line 96,2024,10,688,541,534
Line 96,2024,11,683,510,519
Line 96,2024,12,339,231,127
Line 102,2024,7,1486,1296,1141
Line 102,2024,8,1620,1384,1180
Line 102,2024,9,1679,1375,1153
Line 102,2024,10,1611,1289,1145
Line 102,2024,11,1502,1205,1094
Line 102,2024,12,1347,1194,1008
Line 102,2025,1,1342,1124,971
Line 102,2025,2,1352,1236,1012
Line 102,2025,3,1423,1256,1107
Line 102,2025,4,1514,1254,1091
Line 102,2025,5,1564,1273,1076
Line 105,2024,7,13843,9870,8216
Line 105,2024,8,14734,9994,8686
Line 105,2024,9,15315,9829,8524
Line 105,2024,10,15445,9863,8391
Line 105,2024,11,14634,9720,8219
Line 105,2024,12,14051,9922,8040
Line 105,2025,1,14231,9701,7622
Line 105,2025,2,14286,10072,8610
Line 105,2025,3,14640,10158,8274
Line 105,2025,4,14693,9760,8325
Line 105,2025,5,15177,9848,8492
Line 106,2024,7,3770,2169,1865
Line 106,2024,8,4205,2275,1974
Line 106,2024,9,4724,2345,2069
Line 106,2024,10,4669,2297,1904
Line 106,2024,11,4410,2284,1812
Line 106,2024,12,4008,2380,1817
Line 106,2025,1,3919,2174,1726
Line 106,2025,2,4147,2303,1966
Line 106,2025,3,4212,2306,1778
Line 106,2025,4,4179,2228,1847
Line 106,2025,5,4261,2260,1950
Line 108,2024,7,13722,8567,6762
Line 108,2024,8,14396,8777,6401
Line 108,2024,9,14961,8516,6897
Line 108,2024,10,15148,8802,6854
Line 108,2024,11,14581,9130,6928
Line 108,2024,12,14184,9294,6488
Line 108,2025,1,14646,8807,6515
Line 108,2025,2,14398,9575,7343
Line 108,2025,3,14684,9566,7025
Line 108,2025,4,15412,9290,7358
Line 108,2025,5,15830,9735,7539
Line 110,2024,7,7240,4346,3171
Line 110,2024,8,7955,4525,3386
Line 110,2024,9,8457,4497,3390
Line 110,2024,10,8567,4782,3656
Line 110,2024,11,8072,4390,3438
Line 110,2024,12,7420,4437,3251
Line 110,2025,1,7774,4158,3153
Line 110,2025,2,7776,4516,3545
Line 110,2025,3,8044,4620,3614
Line 110,2025,4,8214,4446,3687
Line 110,2025,5,8520,4293,3636
Line 111,2024,7,13952,9924,8428
Line 111,2024,8,14686,10368,8726
Line 111,2024,9,15473,10315,8771
Line 111,2024,10,15881,10600,8862
Line 111,2024,11,15033,10488,8645
Line 111,2024,12,14026,10504,8061
Line 111,2025,1,14370,10306,7959
Line 111,2025,2,14304,10567,8451
Line 111,2025,3,14279,10771,8494
Line 111,2025,4,14999,10337,8633
Line 111,2025,5,15501,10585,8832
Line 115,2024,7,11168,8345,6582
Line 115,2024,8,12256,8692,6959
Line 115,2024,9,12971,8324,6863
Line 115,2024,10,13158,8451,7158
Line 115,2024,11,12279,8109,6680
Line 115,2024,12,11467,7975,6660
Line 115,2025,1,11837,7551,5974
Line 115,2025,2,11563,8122,6651
Line 115,2025,3,12015,8277,6403
Line 115,2025,4,12251,7747,6412
Line 115,2025,5,12915,8225,6672
Line 117,2024,7,8113,5587,4526
Line 117,2024,8,8919,6257,5138
Line 117,2024,9,9640,6128,5197
Line 117,2024,10,9748,6163,5294
Line 117,2024,11,9205,6020,5117
Line 117,2024,12,8606,5666,4800
Line 117,2025,1,8632,5355,4205
Line 117,2025,2,8571,5636,4709
Line 117,2025,3,8568,5653,4572
Line 117,2025,4,8981,5485,4409
Line 117,2025,5,9396,5754,4792
Line 120,2024,7,2945,1810,1662
Line 120,2024,8,3150,1852,1787
Line 120,2024,9,3279,1919,1722
Line 120,2024,10,3295,1901,1803
Line 120,2024,11,3090,1855,1668
Line 120,2024,12,2835,1619,1551
Line 120,2025,1,2896,1572,1347
Line 120,2025,2,2757,1852,1401
Line 120,2025,3,2798,1770,1530
Line 120,2025,4,2874,1687,1622
Line 120,2025,5,2923,1787,1588
Line 125,2024,7,4496,3010,2414
Line 125,2024,8,5044,3236,2598
Line 125,2024,9,5447,3105,2600
Line 125,2024,10,5494,3037,2783
Line 125,2024,11,5096,2727,2436
Line 125,2024,12,4959,2771,2391
Line 125,2025,1,5171,2856,2132
Line 125,2025,2,5149,3148,2542
Line 125,2025,3,5240,3021,2544
Line 125,2025,4,5383,2917,2606
Line 125,2025,5,5592,2990,2598
Line 127,2024,7,1670,1131,934
Line 127,2024,8,1894,1181,976
Line 127,2024,9,1982,1087,957
Line 127,2024,10,2053,1185,1010
Line 127,2024,11,1953,1177,924
Line 127,2024,12,1946,1045,984
Line 127,2025,1,1932,1112,974
Line 127,2025,2,1877,1258,1016
Line 127,2025,3,1928,1199,1028
Line 127,2025,4,1982,1066,1080
Line 127,2025,5,1965,1133,945
Line 128,2024,7,952,660,530
Line 128,2024,8,1148,723,614
Line 128,2024,9,1303,697,581
Line 128,2024,10,1338,742,641
Line 128,2024,11,1137,762,586
Line 128,2024,12,1112,678,523
Line 128,2025,1,1052,692,498
Line 128,2025,2,1062,709,563
Line 128,2025,3,1064,684,514
Line 128,2025,4,1118,679,577
Line 128,2025,5,1133,649,599
Line 134,2024,7,1287,1113,950
Line 134,2024,8,1297,1076,898
Line 134,2024,9,1299,1083,945
Line 134,2024,10,1230,1069,840
Line 134,2024,11,1149,906,814
Line 134,2024,12,877,833,677
Line 134,2025,1,213,216,313
Line 134,2025,3,622,541,475
Line 134,2025,4,756,702,515
Line 134,2025,5,773,623,570
Line 150,2024,7,2719,1878,1617
Line 150,2024,8,3046,1924,1735
Line 150,2024,9,3311,1776,1621
Line 150,2024,10,3329,2003,1716
Line 150,2024,11,3150,1898,1635
Line 150,2024,12,3008,1877,1507
Line 150,2025,1,3173,1941,1385
Line 150,2025,2,3240,2018,1736
Line 150,2025,3,3186,2033,1687
Line 150,2025,4,3237,1896,1894
Line 150,2025,5,3360,1929,1790
Line 152,2024,7,9377,6933,5742
Line 152,2024,8,10465,7102,6005
Line 152,2024,9,11294,7450,5984
Line 152,2024,10,11261,7207,5918
Line 152,2024,11,10564,7067,5700
Line 152,2024,12,10169,7118,5919
Line 152,2025,1,10387,7088,5481
Line 152,2025,2,10512,7055,6115
Line 152,2025,3,10837,7542,6044
Line 152,2025,4,11018,7353,6334
Line 152,2025,5,11275,7146,6151
Line 154,2024,7,512,449,366
Line 154,2024,8,555,460,336
Line 154,2024,9,636,489,386
Line 154,2024,10,622,482,401
Line 154,2024,11,576,464,337
Line 154,2024,12,519,437,369
Line 154,2025,1,553,437,361
Line 154,2025,2,622,487,407
Line 154,2025,3,653,549,437
Line 154,2025,4,660,524,472
Line 154,2025,5,688,501,425
Line 155,2024,7,1093,913,768
Line 155,2024,8,1194,987,828
Line 155,2024,9,1194,952,826
Line 155,2024,10,1230,933,818
Line 155,2024,11,1179,950,764
Line 155,2024,12,1100,981,725
Line 155,2025,1,1052,877,710
Line 155,2025,2,1148,911,798
Line 155,2025,3,1203,982,823
Line 155,2025,4,1203,1029,853
Line 155,2025,5,1273,1018,902
Line 158,2024,7,1382,875,713
Line 158,2024,8,1663,920,750
Line 158,2024,9,1822,986,770
Line 158,2024,10,1917,988,771
Line 158,2024,11,1798,935,696
Line 158,2024,12,1730,974,747
Line 158,2025,1,1681,984,753
Line 158,2025,2,1783,1034,834
Line 158,2025,3,1818,1055,780
Line 158,2025,4,1880,952,764
Line 158,2025,5,2023,1022,841
Line 161,2024,7,797,659,468
Line 161,2024,8,820,611,505
Line 161,2024,9,816,621,463
Line 161,2024,10,837,569,483
Line 161,2024,11,787,593,469
Line 161,2024,12,784,574,456
Line 161,2025,1,799,582,402
Line 161,2025,2,764,635,487
Line 161,2025,3,765,635,435
Line 161,2025,4,774,569,434
Line 161,2025,5,818,579,458
Line 162,2024,7,9384,6618,5234
Line 162,2024,8,10056,6884,5307
Line 162,2024,9,10853,6933,5531
Line 162,2024,10,10942,7019,5877
Line 162,2024,11,10217,7030,5139
Line 162,2024,12,9717,6696,4739
Line 162,2025,1,9659,6125,4171
Line 162,2025,2,9962,7086,5371
Line 162,2025,3,10079,7072,5594
Line 162,2025,4,10472,7116,5706
Line 162,2025,5,10878,7112,5468
Line 164,2024,7,5381,3383,2667
Line 164,2024,8,6204,3583,2681
Line 164,2024,9,6829,3376,2715
Line 164,2024,10,6842,3763,2801
Line 164,2024,11,6407,3461,2608
Line 164,2024,12,5891,3374,2718
Line 164,2025,1,5946,3277,2491
Line 164,2025,2,6278,3657,2813
Line 164,2025,3,6522,3700,2944
Line 164,2025,4,6528,3607,3002
Line 164,2025,5,6916,3638,3007
Line 165,2024,7,7199,4413,3606
Line 165,2024,8,8398,4655,3862
Line 165,2024,9,9144,4690,3732
Line 165,2024,10,9139,4809,3702
Line 165,2024,11,8529,4497,3659
Line 165,2024,12,7908,4893,3655
Line 165,2025,1,8153,4425,3237
Line 165,2025,2,8581,4642,3871
Line 165,2025,3,8719,4733,3891
Line 165,2025,4,8750,4589,3906
Line 165,2025,5,9182,4533,3994
Line 166,2024,7,5279,3144,2574
Line 166,2024,8,6117,3354,2833
